CommectIds,Comments,Clean Comments,Sentiment Scores,Sentiments
FAA-2014-0641-0006,"Dear Sirs I am offering my comments in support of the Sky-Futures request for a Section 333 Exemption. <br/>I am a retired Vice President from ExxonMobil. During my career in the oil and gas industry safety was a primary concern. Routine inspection of operating equipment is vital to ensure safe operations. These inspections include pipelines, refinery equipment such as flares and pressure vessels, offshore platforms, remote gas separation plants, oil wells and gathering systems, ships, terminals, retail outlets and many other facilities. <br/>In order to conduct visual inspections the currently used technology frequently requires placing personnel in elevated or difficult positions to gain line of sight. <br/>Unmanned Aircraft Systems offer a safer, lower cost and more flexible process for providing external inspections. <br/>Sky-Futures has demonstrated success in these areas in other parts of the world. Allowing the company to operate in the USA will help support the oil and gas industry thus protecting the vital interests of the country. ",dear sir offering comment support sky future request section exemption retired vice president exxonmobil career oil gas industry safety primary concern routine inspection operating equipment vital ensure safe operation inspection include pipeline refinery equipment flare pressure vessel offshore platform remote gas separation plant oil well gathering system ship terminal retail outlet many facility order conduct visual inspection currently used technology frequently requires placing personnel elevated difficult position gain line sight unmanned aircraft system offer safer lower cost flexible process providing external inspection sky future demonstrated success area part world allowing company operate usa help support oil gas industry thus protecting vital interest country,0.984,Positive
FAA-2014-0641-0008,"I encourage the FAA to approve Sky-Futures&#39; Section 333 Exemption request to operate small unmanned aircraft systems (UAS) in US airspace.  Including Sky-Futures in the early stages as the FAA broadens commercial UAS use will be a public service in both expansion of veteran career opportunities and improved safety of dangerous infrastructure services.<br/><br/>It is critical that civilian organizations continue to provide veteran career opportunities.  Our military men and women serve this country proudly and helping them transfer that experience into civilian careers provides many benefits for both the individuals and companies that hire them.  Coming out of the US Air Force with Titan II missile experience, I well know the challenges of translating military specific skills into a civilian job.  I am encouraged to see Sky-Futures&#39; commitment to veterans with an employee makeup greater than 80% globally.   Opening the US market to Sky-Futures enables US veterans with military UAS experience to transfer these hard-earned skills into oil and gas, construction and utilities inspections.  <br/><br/>Sky-Futures has 5 years experience delivering commercial UAS inspections on dangerous infrastructure located in extreme and austere geographical environments with a proven record of improving safety.  Firstly by minimizing human risk on the actual inspections.  Secondly by allowing more thorough inspections of this type of infrastructure, providing more accurate data points to prevent future accidents.   This UAS use case is very different from existing use cases exempted by the FAA and will provide a much broader perspective for the safe integration of UAS into the National Airspace System allowing more comprehensive rule-making.  <br/><br/>Gracie Golonka<br/>US Air Force Veteran",encourage faa approve sky future section exemption request operate small unmanned aircraft system uas u airspace including sky future early stage faa broadens commercial uas use public service expansion veteran career opportunity improved safety dangerous infrastructure service critical civilian organization continue provide veteran career opportunity military men woman serve country proudly helping transfer experience civilian career provides many benefit individual company hire coming u air force titan ii missile experience well know challenge translating military specific skill civilian job encouraged see sky future commitment veteran employee makeup greater globally opening u market sky future enables u veteran military uas experience transfer hard earned skill oil gas construction utility inspection sky future year experience delivering commercial uas inspection dangerous infrastructure located extreme austere geographical environment proven record improving safety firstly minimizing human risk actual inspection secondly allowing thorough inspection type infrastructure providing accurate data point prevent future accident uas use case different existing use case exempted faa provide much broader perspective safe integration uas national airspace system allowing comprehensive rule making gracie golonkaus air force veteran,0.9801,Positive
FAA-2014-0641-0005,"I have read and analyzed the Sky-Futures USA Inc. Section 333 Exemption petition and I find its detail and precision a reflection of the already proven professionalism and execution by Sky-Futures providing detailed inspections and data collection in the oil and gas industry for the past 5 years while adhering to the strict provisions of the CAA, CAP-722 and other safety compliance regulations. Sky-Futures is a current global leader in UAV inspection services and they have made no shortcuts in growing their business and providing services to large-named oil and gas clients. All Sky-Futures operators are militarily trained and have extensive UAV experience even before entering the rigorous training program of the Sky-Futures UAV operator course. The AscTech Falcon 8 is a reliable proven multi-copter airframe that fits within the SUAS group guidelines and has been a successful tool for on and offshore inspections. I have spoken and met with the Sky-Futures leadership and I am convinced that they have all the means necessary to be the front-runner and set the bar for safety and reliability for Onshore and Offshore oil and gas inspections services in the United States and the Gulf of Mexico. <br/><br/>Russell Williamson<br/>Air Force Special Operations Air Warfare Center Headquarters<br/>Small UAS Program Manager",read analyzed sky future usa inc section exemption petition find detail precision reflection already proven professionalism execution sky future providing detailed inspection data collection oil gas industry past year adhering strict provision caa cap safety compliance regulation sky future current global leader uav inspection service made shortcut growing business providing service large named oil gas client sky future operator militarily trained extensive uav experience even entering rigorous training program sky future uav operator course asctech falcon reliable proven multi copter airframe fit within suas group guideline successful tool offshore inspection spoken met sky future leadership convinced mean necessary front runner set bar safety reliability onshore offshore oil gas inspection service united state gulf mexico russell williamsonair force special operation air warfare center headquarterssmall uas program manager,0.9477,Positive
FAA-2014-0641-0009,Small UAV Coalition comments in support of SkyWard &amp; Sky-Futures petition for exemption,small uav coalition comment support skyward amp sky future petition exemption,0.4019,Positive
FAA-2014-0641-0010,See attached file(s),see attached file,0.0,Neutral
FAA-2015-5675-0002,Please place the attached rejection letter in the docket.,please place attached rejection letter docket,-0.296,Negative
FAA-2015-6247-0002,Please attach the following grant letter to Drone University USA (DocketNo.FAA20156247).,please attach following grant letter drone university usa docketno,0.5859,Positive
CFPB-2018-0003-0367,"Feedback on Bureau (nonexistent) Enforcement  Process.  <br/><br/>It is a travesty &amp; waste of resources to pretend CFPB is doing anything, when current leadership is letting banks &amp; financial institutions get away with murder.  Millions of homes illegally foreclosed on.  MILLIONS of forged loan documents, to steal homes.  Our government even gave the big banks criminal immunity for &quot;Linda Green&quot; forged signatures. Meanwhile, families like mine suffer relentlessly.  WHY SHOULD MY FAMILY HAVE TO FIGHT BANKS FOR 11 YEARS THEN THEY USE GOVERNMENT RESOURCES &amp; PROFIT FROM STOLEN HOMES TO FIGHT US?  <br/><br/>You should be ashamed.  <br/><br/>These banks do not need protection.  Sadly, you must legislate morality because these banks have forgotten what ethics &amp; morality means.  Consider my family&#39;s story, which CFPB did nothing about, &amp; cannot-as even when banks respond with a lie to complaints you have no process to look further or take further action.  Inexcusable. <br/><br/>I spent 6 years fighting US Bank, after suing them for wrongful foreclosure, losing my home &amp; being forced to move, then a published appeal (Ragland V US Bank, Cal App 4th, 2012), &amp; finally getting to trial where they settled Day 1.  <br/><br/>Then-Wells Fargo illegally foreclosed on my rental, tried 4 years to evict me illegally despite a 5 year lease &amp; PTFA, &amp; finally withdrew when I proved they stole the loan/house. I spent $100K on attorneys, &amp; $300K+ on house repairs-plus my time &amp; employee time.  This house is so dangerous, it would be red tagged.  Wells Fargo admitted they don&#39;t know how they got a loan due to the state of the house-yet leaves my family here to pay for all their repairs, &amp; risk serious danger-despite geological reports showing the house is a &quot;danger to life and limb&quot;. <br/><br/>Wells Fargo/OCWEN do not care if we are KILLED in this house-then they would not have to pay me back!!!  Dispicable!!    <br/><br/>Wells Fargo/OCWEN did not follow Federal/state PTFA law.  Wells Fargo&#39;s executive office claims they don&#39;t have to. They do!  When we deposed them, they sent OCWEN who testified they have NO PROCESS TO HANDLE RENTERS IN A FORECLOSED PROPERTY.  They have no plans to follow the  law.  <br/><br/>I reported this to CFPB in 2014.  Wells Fargo said &quot;It&#39;s not us, it&#39;s OCWEN&quot;.  We tried for 3 years to depose Wells Fargo. They sent OCWEN Spring 2014,  who testified 17 times they were operating under Authority of WELLS FARGO.  I filed another CFPB complaint-pointing out Wells Fargo lied. Wells Fargo  responded to CFPB since I did not own the home, I don&#39;t &quot;have standing&quot;. Ridiculous. They sued me &quot;Wells Fargo v Ragland&quot;, &amp; I live in the  foreclosed house.  I have the right to bring a complaint about them not following PTFA laws impacting my family.    <br/><br/>They thumb their nose at the law.  <br/><br/>I replied to the closed CFPB complaint my complaint was not addressed. I called CFPB to see if I could appeal with a human-you used to be able to. Now you cannot. What good is CFPB, if the bank lies and then the complaint is closed?  It  serves absolutely no value.  None. If you do nothing, just close.  <br/><br/>I submitted another complaint!!  There is no spot for renter complaints on foreclosures on your site. You need to have an  &quot;other&quot; category.  <br/><br/>Wells Fargo replied to that one after 15 days, that they needed  60 more days.  Why? This is not hard--they broke the law and  they owe me money. End  of story.  They are  only  doing this because I told them I  would keep submitting complaints.  <br/><br/>What good are these CFPB complaints?  These banks are doing whatever they want, running amuck... After my family being impacted for more than 11 years now--I am getting pretty tired of it.  My son was not born yet when my loan was forged in 2002.  My kids were 4  &amp; 5  when US Bank put my home in foreclosure wrongly, starting in 2007, &amp; 6 &amp; 7 when we were forced to move from my home of 19 years I bought new, in 2009.  That is the biggest trauma my family has ever been through,being forced from the only home my kids ever knew &amp; causing my son to become Autistic.  Here we are -- my kids are almost 16 &amp; 17... &amp; we are STILL FIGHTING BANKS.  When does this madness end?  WHY SHOULD MY KIDS HAVE  TO SPEND THEIR ENTIRE CHILDHOOD FIGHTING BANKS?  <br/><br/>WHY CAN&#39;T YOU DO YOUR JOB?  <br/><br/>If there is no accountability when banks do bogus replies, no way to find the right issue category, &amp; no penalty to these banks -- what good is your agency?  I would like to see you do some good.  <br/><br/>Suggestions -- <br/>1) Banks need more regulation not less <br/>2) Allow a way to &quot;appeal with a human&quot; when an institution does not actually address the issue.  <br/>3) Have a process so the human who is appealed to can actually do something to stop this issue from happening again.   Penalties.  Referring for further action.  SOMETHIING.  DO SOMETHING.  <br/>4) Impose penalties on these banks, and stick to them.  Hit them where it hurts... their pocketbook.  These penalties should be based on actual customer reports.   <br/><br/>Thank you.<br/>",feedback bureau nonexistent enforcement process travesty amp waste resource pretend cfpb anything current leadership letting bank amp financial institution get away murder million home illegally foreclosed million forged loan document steal home government even gave big bank criminal immunity quot linda green quot forged signature meanwhile family like mine suffer relentlessly family fight bank year use government resource amp profit stolen home fight u ashamed bank need protection sadly must legislate morality bank forgotten ethic amp morality mean consider family story cfpb nothing amp even bank respond lie complaint process look take action inexcusable spent year fighting u bank suing wrongful foreclosure losing home amp forced move published appeal ragland u bank cal app amp finally getting trial settled day well fargo illegally foreclosed rental tried year evict illegally despite year lease amp ptfa amp finally withdrew proved stole loan house spent attorney amp house repair plus time amp employee time house dangerous would red tagged well fargo admitted know got loan due state house yet leaf family pay repair amp risk serious danger despite geological report showing house quot danger life limb quot well fargo ocwen care killed house would pay back dispicable well fargo ocwen follow federal state ptfa law well fargo executive office claim deposed sent ocwen testified process handle renter foreclosed property plan follow law reported cfpb well fargo said quot u ocwen quot tried year depose well fargo sent ocwen spring testified time operating authority well fargo filed another cfpb complaint pointing well fargo lied well fargo responded cfpb since home quot standing quot ridiculous sued quot well fargo ragland quot amp live foreclosed house right bring complaint following ptfa law impacting family thumb nose law replied closed cfpb complaint complaint addressed called cfpb see could appeal human used able good cfpb bank lie complaint closed serf absolutely value none nothing close submitted another complaint spot renter complaint foreclosure site need quot quot category well fargo replied one day needed day hard broke law owe money end story told would keep submitting complaint good cfpb complaint bank whatever want running amuck family impacted year getting pretty tired son born yet loan forged kid amp u bank put home foreclosure wrongly starting amp amp forced move home year bought new biggest trauma family ever forced home kid ever knew amp causing son become autistic kid almost amp amp still fighting bank madness end kid spend entire childhood fighting bank job accountability bank bogus reply way find right issue category amp penalty bank good agency would like see good suggestion bank need regulation le allow way quot appeal human quot institution actually address issue process human appealed actually something stop issue happening penalty referring action somethiing something impose penalty bank stick hit hurt pocketbook penalty based actual customer report thank,-0.9974,Negative
CFPB-2018-0003-0362,See Attached,see attached,0.0,Neutral
CFPB-2018-0003-0372,Please see attached comment letter.,please see attached comment letter,0.3182,Positive
CFPB-2018-0003-0410,See attached,see attached,0.0,Neutral
CFPB-2018-0003-0409,See attached,see attached,0.0,Neutral
CFPB-2018-0003-0406,See attached,see attached,0.0,Neutral
CFPB-2018-0003-0379,Please find attached the American Bankers Association&#39;s comment letter on the request for information.,please find attached american banker association comment letter request information,0.3182,Positive
CFPB-2018-0003-0391,Please see the attached comments of the Mortgage Bankers Association on the Bureau&#39;s request for information on its enforcement processes.,please see attached comment mortgage banker association bureau request information enforcement process,0.3182,Positive
CFPB-2018-0003-0387,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0382,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0404,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0400,Comments of Financial Regulation and Consumer Protection Scholars and Former Regulators,comment financial regulation consumer protection scholar former regulator,0.0,Neutral
CFPB-2018-0003-0402,"Please see the attached comment from a coalition of 34 consumer, community, civil rights, and legal services groups.",please see attached comment coalition consumer community civil right legal service group,0.4215,Positive
CFPB-2018-0003-0381,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0364,See Attached,see attached,0.0,Neutral
CFPB-2018-0003-0408,See attached,see attached,0.0,Neutral
CFPB-2018-0003-0378,"Please find the attached comment letter from the Credit Union National Association (CUNA).<br/><br/>Please let me know if you have any questions.<br/><br/>Thank you,<br/><br/>Elizabeth A. Eurgubian<br/>Deputy Chief Advocacy Officer<br/>CUNA<br/><br/>EEurgubian@cuna.coop",please find attached comment letter credit union national association cuna please let know question thank elizabeth eurgubiandeputy chief advocacy officercunaeeurgubian cuna coop,0.8271,Positive
CFPB-2018-0003-0393,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0396,"See attached file(s) submitted by the Hon. Mark Brnovich, Arizona Attorney General.",see attached file submitted hon mark brnovich arizona attorney general,0.0,Neutral
CFPB-2018-0003-0384,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0383,See attached file(s),see attached file,0.0,Neutral
CFPB-2018-0003-0389,Attached is the Illinois Credit Union League&#39;s comment letter on the RFI regarding Bureau Enforcement Processes.,attached illinois credit union league comment letter rfi regarding bureau enforcement process,0.3818,Positive
CFPB-2018-0003-0365,"Why bother, you will gut the Bureau anyway, no matter what the comments!",bother gut bureau anyway matter comment,-0.3182,Negative
CFPB-2018-0003-0366,I sent a complaint regarding fees and prepayment penality that we were charged on a commercial loan we procured for small business the CFPB referred my file to a different agency. I provided copies of checks and copies of loan documents where the prepayment penalty was to be charged if loan was not cured. However the CFPB said they did not have access to GE Commercial lending ,sent complaint regarding fee prepayment penality charged commercial loan procured small business cfpb referred file different agency provided copy check copy loan document prepayment penalty charged loan cured however cfpb said access ge commercial lending,-0.7783,Negative
CFPB-2018-0003-0411,See attached,see attached,0.0,Neutral
CFPB-2018-0003-0360,"Docket # CFPB-2018-003<br/><br/>As my comment, I have attached a proposed new CFPB form: &quot;Request for Authority to Initiate Litigation.&quot;  I believe my proposal captures senior leadership&#39;s new vision for consumer protection and industry engagement.  ",docket cfpb comment attached proposed new cfpb form quot request authority initiate litigation quot believe proposal capture senior leadership new vision consumer protection industry engagement,0.5423,Positive
CFPB-2018-0003-0040,"I am commenting in support of a well managed and independent CFPB. Throughout its short history, the CFPB has provided an essential service, including, but not limited to: in protecting the American people, setting appropriate standards for predatory mortgage lending, regulating payday loans, and attempting to punish Wells Fargo for its many scandals and illicit and/or corrupt business practices, etc.<br/><br/>Unfortunately, the current administration and Director Mulvaney seemingly have no interest in protecting the American people. Corporations are still routinely sided with, and openly encouraging corporations to wreak havoc in our financial system through predatory lending and other corrupt banking practices, to say nothing about a general lack of transparency and oversight. Keeping institutions from re-establishing various types of harmful and predatory or dangerous practices is the main focus of the CFPB. By not pursuing lawsuits, the American people are left without protection.<br/><br/>It is disappointingly obvious that Director Mulvaney has no desire to enforce the rule of law or perform the responsibilities of his office. The CFPB would be better off run by a director who is actively working for the real cause of the CFPB, instead of trying to destroy it from within.<br/><br/>Protecting the American people is a sacred honor, and the CFPB needs to remain strong and with a toolbelt filled with as many tools as necessary to stand-up to corporations who have nothing but their bottom line in mind.",commenting support well managed independent cfpb throughout short history cfpb provided essential service including limited protecting american people setting appropriate standard predatory mortgage lending regulating payday loan attempting punish well fargo many scandal illicit corrupt business practice etc unfortunately current administration director mulvaney seemingly interest protecting american people corporation still routinely sided openly encouraging corporation wreak havoc financial system predatory lending corrupt banking practice say nothing general lack transparency oversight keeping institution establishing various type harmful predatory dangerous practice main focus cfpb pursuing lawsuit american people left without protection disappointingly obvious director mulvaney desire enforce rule law perform responsibility office cfpb would better run director actively working real cause cfpb instead trying destroy within protecting american people sacred honor cfpb need remain strong toolbelt filled many tool necessary stand corporation nothing bottom line mind,0.7946,Positive
CFPB-2018-0003-0046,"I am strongly in favor of the CFPB holding financial institutions accountable for wrongdoing.  Please continue to regulate the predatory practices of these banks and lenders.  Mick Mulvaney does not have the legal authority to lead this agency.  Furthermore, Mulvaney&#39;s actions to relax consumer protections are a disservice to the American public.",strongly favor cfpb holding financial institution accountable wrongdoing please continue regulate predatory practice bank lender mick mulvaney legal authority lead agency furthermore mulvaney action relax consumer protection disservice american public,0.8689,Positive
CFPB-2018-0003-0332,Please do the job that the position was created for:  Look out for consumers!,please job position created look consumer,0.5106,Positive
CFPB-2018-0003-0274,"Why is someone who called the CFPB a &quot;sad, sick joke&quot; running it? The Consumer Financial PROTECTION Bureau is there to prevent corporations and money lending institutions from committing fraud against the very people who give them their precious savings to try and make the lives of them and their families better. If it&#39;s being run by someone who fundamentally does not have the best interests of those working and middle class families then it truly has become a &quot;sad, sick joke.&quot; ",someone called cfpb quot sad sick joke quot running consumer financial protection bureau prevent corporation money lending institution committing fraud people give precious saving try make life family better run someone fundamentally best interest working middle class family truly become quot sad sick joke quot,0.5994,Positive
CFPB-2018-0003-0295,"CFPB, DO YOUR JOB, and your job is NOT kowtowing to financial corporations.  Equifax negligence led to identity theft where my personal financial information was used to file fraudulent claims with FEMA, SBA, and SSA, as well as God knows how many corporate accounts. This results in ongoing and sustained personal financial harm to me, and to millions of other American citizens who may not even be aware of it yet. The CFPBs job is to hold corporations such as Equifax accountable, and act as deterrence to negligent or malicious corporate behaviors, not to let corporations walk away with ineffective and/or toothless penalties. The current CFPB Director is corrupt, plan and simple. WHAT YOU HAVE DONE IN THE PAST FEW MONTHS IS A CORRUPTION, and history is watching what this administration is doing.",cfpb job job kowtowing financial corporation equifax negligence led identity theft personal financial information used file fraudulent claim fema sba ssa well god know many corporate account result ongoing sustained personal financial harm million american citizen may even aware yet cfpbs job hold corporation equifax accountable act deterrence negligent malicious corporate behavior let corporation walk away ineffective toothless penalty current cfpb director corrupt plan simple done past month corruption history watching administration,-0.8555,Negative
CFPB-2018-0003-0232,"The CFPB has been a marvelous protection for consumers against predatory lending practices.  It was something we little people desperately needed, as evidenced by the amount of money recovered from banks guilty of fraudulent practices.  However, since this administration has taken over, the agency has taken a decidedly anti-consumer turn.  Dropping the investigation into the Equifax breach, for example, is to say that allowing millions of people&#39;s information to be exposed to identity thieves is of no consequence to this administration.  I urge you to reconsider the direction you are taking.  Lenders do not need your protection.  We do.",cfpb marvelous protection consumer predatory lending practice something little people desperately needed evidenced amount money recovered bank guilty fraudulent practice however since administration taken agency taken decidedly anti consumer turn dropping investigation equifax breach example say allowing million people information exposed identity thief consequence administration urge reconsider direction taking lender need protection,-0.8662,Negative
CFPB-2018-0003-0213,CFPB mission is to protect CONSUMER interests!,cfpb mission protect consumer interest,0.6808,Positive
CFPB-2018-0003-0175,"Mick Mulvaney is so blatantly and obviously a corporate shill.<br/><br/>How can this even be possible?   The Consumer Financial Protection Bureau&#39;s (CFPB) was established as one of the very few protective measures to try to minimize the aggressive and heartless plundering of our economy and society by the ultra rich.<br/><br/>It never ceases to amaze me when I witness the sick levels of greed and utter lack of humanity in people like him (and his puppet masters).<br/><br/>How much power and money is enough for them?  How many mega-yachts does one person need?<br/><br/>How do these people live with themselves, knowing how many innocent peoples&#39; lives they are hurting?<br/><br/>It seems like some type of clinical disease... sociopathy.   Unfortunately, our political/economic system allows and encourages sociopathic behavior to thrive.    What can we do, when they get their greedy hands on our only tools of defense?   <br/><br/>They are like aliens that with an insatiable appetite for our blood - unrelenting and unstoppable.<br/>",mick mulvaney blatantly obviously corporate shill even possible consumer financial protection bureau cfpb established one protective measure try minimize aggressive heartless plundering economy society ultra rich never cease amaze witness sick level greed utter lack humanity people like puppet master much power money enough many mega yacht one person need people live knowing many innocent people life hurting seems like type clinical disease sociopathy unfortunately political economic system allows encourages sociopathic behavior thrive get greedy hand tool defense like alien insatiable appetite blood unrelenting unstoppable,-0.5176,Negative
CFPB-2018-0003-0122,"the &quot;director&quot; is the same as his &quot;shit hole - pussy grabber&quot; boss !<span style='padding-left: 30px'></span>why don&#39;t they have the courage and honesty to just tell us they are going to do everything they can to rape us really good and hard ?    we can handle it.    we&#39;re tough.   we can take it.    USA, USA, USA !",quot director quot quot shit hole pussy grabber quot bos courage honesty tell u going everything rape u really good hard handle tough take usa usa usa,-0.2228,Negative
