CommectIds,Comments
CFPB-2018-0003-0367,"Feedback on Bureau (nonexistent) Enforcement  Process.  <br/><br/>It is a travesty &amp; waste of resources to pretend CFPB is doing anything, when current leadership is letting banks &amp; financial institutions get away with murder.  Millions of homes illegally foreclosed on.  MILLIONS of forged loan documents, to steal homes.  Our government even gave the big banks criminal immunity for &quot;Linda Green&quot; forged signatures. Meanwhile, families like mine suffer relentlessly.  WHY SHOULD MY FAMILY HAVE TO FIGHT BANKS FOR 11 YEARS THEN THEY USE GOVERNMENT RESOURCES &amp; PROFIT FROM STOLEN HOMES TO FIGHT US?  <br/><br/>You should be ashamed.  <br/><br/>These banks do not need protection.  Sadly, you must legislate morality because these banks have forgotten what ethics &amp; morality means.  Consider my family&#39;s story, which CFPB did nothing about, &amp; cannot-as even when banks respond with a lie to complaints you have no process to look further or take further action.  Inexcusable. <br/><br/>I spent 6 years fighting US Bank, after suing them for wrongful foreclosure, losing my home &amp; being forced to move, then a published appeal (Ragland V US Bank, Cal App 4th, 2012), &amp; finally getting to trial where they settled Day 1.  <br/><br/>Then-Wells Fargo illegally foreclosed on my rental, tried 4 years to evict me illegally despite a 5 year lease &amp; PTFA, &amp; finally withdrew when I proved they stole the loan/house. I spent $100K on attorneys, &amp; $300K+ on house repairs-plus my time &amp; employee time.  This house is so dangerous, it would be red tagged.  Wells Fargo admitted they don&#39;t know how they got a loan due to the state of the house-yet leaves my family here to pay for all their repairs, &amp; risk serious danger-despite geological reports showing the house is a &quot;danger to life and limb&quot;. <br/><br/>Wells Fargo/OCWEN do not care if we are KILLED in this house-then they would not have to pay me back!!!  Dispicable!!    <br/><br/>Wells Fargo/OCWEN did not follow Federal/state PTFA law.  Wells Fargo&#39;s executive office claims they don&#39;t have to. They do!  When we deposed them, they sent OCWEN who testified they have NO PROCESS TO HANDLE RENTERS IN A FORECLOSED PROPERTY.  They have no plans to follow the  law.  <br/><br/>I reported this to CFPB in 2014.  Wells Fargo said &quot;It&#39;s not us, it&#39;s OCWEN&quot;.  We tried for 3 years to depose Wells Fargo. They sent OCWEN Spring 2014,  who testified 17 times they were operating under Authority of WELLS FARGO.  I filed another CFPB complaint-pointing out Wells Fargo lied. Wells Fargo  responded to CFPB since I did not own the home, I don&#39;t &quot;have standing&quot;. Ridiculous. They sued me &quot;Wells Fargo v Ragland&quot;, &amp; I live in the  foreclosed house.  I have the right to bring a complaint about them not following PTFA laws impacting my family.    <br/><br/>They thumb their nose at the law.  <br/><br/>I replied to the closed CFPB complaint my complaint was not addressed. I called CFPB to see if I could appeal with a human-you used to be able to. Now you cannot. What good is CFPB, if the bank lies and then the complaint is closed?  It  serves absolutely no value.  None. If you do nothing, just close.  <br/><br/>I submitted another complaint!!  There is no spot for renter complaints on foreclosures on your site. You need to have an  &quot;other&quot; category.  <br/><br/>Wells Fargo replied to that one after 15 days, that they needed  60 more days.  Why? This is not hard--they broke the law and  they owe me money. End  of story.  They are  only  doing this because I told them I  would keep submitting complaints.  <br/><br/>What good are these CFPB complaints?  These banks are doing whatever they want, running amuck... After my family being impacted for more than 11 years now--I am getting pretty tired of it.  My son was not born yet when my loan was forged in 2002.  My kids were 4  &amp; 5  when US Bank put my home in foreclosure wrongly, starting in 2007, &amp; 6 &amp; 7 when we were forced to move from my home of 19 years I bought new, in 2009.  That is the biggest trauma my family has ever been through,being forced from the only home my kids ever knew &amp; causing my son to become Autistic.  Here we are -- my kids are almost 16 &amp; 17... &amp; we are STILL FIGHTING BANKS.  When does this madness end?  WHY SHOULD MY KIDS HAVE  TO SPEND THEIR ENTIRE CHILDHOOD FIGHTING BANKS?  <br/><br/>WHY CAN&#39;T YOU DO YOUR JOB?  <br/><br/>If there is no accountability when banks do bogus replies, no way to find the right issue category, &amp; no penalty to these banks -- what good is your agency?  I would like to see you do some good.  <br/><br/>Suggestions -- <br/>1) Banks need more regulation not less <br/>2) Allow a way to &quot;appeal with a human&quot; when an institution does not actually address the issue.  <br/>3) Have a process so the human who is appealed to can actually do something to stop this issue from happening again.   Penalties.  Referring for further action.  SOMETHIING.  DO SOMETHING.  <br/>4) Impose penalties on these banks, and stick to them.  Hit them where it hurts... their pocketbook.  These penalties should be based on actual customer reports.   <br/><br/>Thank you.<br/>"
CFPB-2018-0003-0362,See Attached
CFPB-2018-0003-0372,Please see attached comment letter.
CFPB-2018-0003-0410,See attached
CFPB-2018-0003-0409,See attached
CFPB-2018-0003-0406,See attached
CFPB-2018-0003-0379,Please find attached the American Bankers Association&#39;s comment letter on the request for information.
CFPB-2018-0003-0391,Please see the attached comments of the Mortgage Bankers Association on the Bureau&#39;s request for information on its enforcement processes.
CFPB-2018-0003-0387,See attached file(s)
CFPB-2018-0003-0382,See attached file(s)
CFPB-2018-0003-0404,See attached file(s)
CFPB-2018-0003-0400,Comments of Financial Regulation and Consumer Protection Scholars and Former Regulators
CFPB-2018-0003-0402,"Please see the attached comment from a coalition of 34 consumer, community, civil rights, and legal services groups."
CFPB-2018-0003-0381,See attached file(s)
CFPB-2018-0003-0364,See Attached
CFPB-2018-0003-0408,See attached
CFPB-2018-0003-0378,"Please find the attached comment letter from the Credit Union National Association (CUNA).<br/><br/>Please let me know if you have any questions.<br/><br/>Thank you,<br/><br/>Elizabeth A. Eurgubian<br/>Deputy Chief Advocacy Officer<br/>CUNA<br/><br/>EEurgubian@cuna.coop"
CFPB-2018-0003-0393,See attached file(s)
CFPB-2018-0003-0396,"See attached file(s) submitted by the Hon. Mark Brnovich, Arizona Attorney General."
CFPB-2018-0003-0384,See attached file(s)
CFPB-2018-0003-0383,See attached file(s)
CFPB-2018-0003-0389,Attached is the Illinois Credit Union League&#39;s comment letter on the RFI regarding Bureau Enforcement Processes.
CFPB-2018-0003-0365,"Why bother, you will gut the Bureau anyway, no matter what the comments!"
CFPB-2018-0003-0366,I sent a complaint regarding fees and prepayment penality that we were charged on a commercial loan we procured for small business the CFPB referred my file to a different agency. I provided copies of checks and copies of loan documents where the prepayment penalty was to be charged if loan was not cured. However the CFPB said they did not have access to GE Commercial lending 
CFPB-2018-0003-0411,See attached
CFPB-2018-0003-0360,"Docket # CFPB-2018-003<br/><br/>As my comment, I have attached a proposed new CFPB form: &quot;Request for Authority to Initiate Litigation.&quot;  I believe my proposal captures senior leadership&#39;s new vision for consumer protection and industry engagement.  "
CFPB-2018-0003-0040,"I am commenting in support of a well managed and independent CFPB. Throughout its short history, the CFPB has provided an essential service, including, but not limited to: in protecting the American people, setting appropriate standards for predatory mortgage lending, regulating payday loans, and attempting to punish Wells Fargo for its many scandals and illicit and/or corrupt business practices, etc.<br/><br/>Unfortunately, the current administration and Director Mulvaney seemingly have no interest in protecting the American people. Corporations are still routinely sided with, and openly encouraging corporations to wreak havoc in our financial system through predatory lending and other corrupt banking practices, to say nothing about a general lack of transparency and oversight. Keeping institutions from re-establishing various types of harmful and predatory or dangerous practices is the main focus of the CFPB. By not pursuing lawsuits, the American people are left without protection.<br/><br/>It is disappointingly obvious that Director Mulvaney has no desire to enforce the rule of law or perform the responsibilities of his office. The CFPB would be better off run by a director who is actively working for the real cause of the CFPB, instead of trying to destroy it from within.<br/><br/>Protecting the American people is a sacred honor, and the CFPB needs to remain strong and with a toolbelt filled with as many tools as necessary to stand-up to corporations who have nothing but their bottom line in mind."
CFPB-2018-0003-0046,"I am strongly in favor of the CFPB holding financial institutions accountable for wrongdoing.  Please continue to regulate the predatory practices of these banks and lenders.  Mick Mulvaney does not have the legal authority to lead this agency.  Furthermore, Mulvaney&#39;s actions to relax consumer protections are a disservice to the American public."
CFPB-2018-0003-0332,Please do the job that the position was created for:  Look out for consumers!
CFPB-2018-0003-0274,"Why is someone who called the CFPB a &quot;sad, sick joke&quot; running it? The Consumer Financial PROTECTION Bureau is there to prevent corporations and money lending institutions from committing fraud against the very people who give them their precious savings to try and make the lives of them and their families better. If it&#39;s being run by someone who fundamentally does not have the best interests of those working and middle class families then it truly has become a &quot;sad, sick joke.&quot; "
CFPB-2018-0003-0295,"CFPB, DO YOUR JOB, and your job is NOT kowtowing to financial corporations.  Equifax negligence led to identity theft where my personal financial information was used to file fraudulent claims with FEMA, SBA, and SSA, as well as God knows how many corporate accounts. This results in ongoing and sustained personal financial harm to me, and to millions of other American citizens who may not even be aware of it yet. The CFPBs job is to hold corporations such as Equifax accountable, and act as deterrence to negligent or malicious corporate behaviors, not to let corporations walk away with ineffective and/or toothless penalties. The current CFPB Director is corrupt, plan and simple. WHAT YOU HAVE DONE IN THE PAST FEW MONTHS IS A CORRUPTION, and history is watching what this administration is doing."
CFPB-2018-0003-0232,"The CFPB has been a marvelous protection for consumers against predatory lending practices.  It was something we little people desperately needed, as evidenced by the amount of money recovered from banks guilty of fraudulent practices.  However, since this administration has taken over, the agency has taken a decidedly anti-consumer turn.  Dropping the investigation into the Equifax breach, for example, is to say that allowing millions of people&#39;s information to be exposed to identity thieves is of no consequence to this administration.  I urge you to reconsider the direction you are taking.  Lenders do not need your protection.  We do."
CFPB-2018-0003-0213,CFPB mission is to protect CONSUMER interests!
CFPB-2018-0003-0175,"Mick Mulvaney is so blatantly and obviously a corporate shill.<br/><br/>How can this even be possible?   The Consumer Financial Protection Bureau&#39;s (CFPB) was established as one of the very few protective measures to try to minimize the aggressive and heartless plundering of our economy and society by the ultra rich.<br/><br/>It never ceases to amaze me when I witness the sick levels of greed and utter lack of humanity in people like him (and his puppet masters).<br/><br/>How much power and money is enough for them?  How many mega-yachts does one person need?<br/><br/>How do these people live with themselves, knowing how many innocent peoples&#39; lives they are hurting?<br/><br/>It seems like some type of clinical disease... sociopathy.   Unfortunately, our political/economic system allows and encourages sociopathic behavior to thrive.    What can we do, when they get their greedy hands on our only tools of defense?   <br/><br/>They are like aliens that with an insatiable appetite for our blood - unrelenting and unstoppable.<br/>"
CFPB-2018-0003-0122,"the &quot;director&quot; is the same as his &quot;shit hole - pussy grabber&quot; boss !<span style='padding-left: 30px'></span>why don&#39;t they have the courage and honesty to just tell us they are going to do everything they can to rape us really good and hard ?    we can handle it.    we&#39;re tough.   we can take it.    USA, USA, USA !"
CFPB-2018-0003-0103,"Mic -<br/>Your handling of the CFPB is a national disgrace. Lenders can pay you off until the end of time with the money they&#39;ll rake in from your malfeasance. And when you&#39;re finished, I&#39;m sure their door will be open for your return to a cushy spot with a nice position, a great return on their investment. Have you made that deal yet? Better make it soon, before all your respectability is gone. (Too late.)<br/><br/>Do republicans (small r) really believe the Bands and Payday lenders will work for the benefit of all? Who are they kidding? Not me, that&#39;s for sure. Regulation is what government does. So do it. That&#39;s your job.<br/><br/>The job as you seem to see it is to dismantle everything the government can do, good or bad (especially if the &quot;O&quot; man had anything to do with it (and &quot;Oh, do we miss him&quot;). <br/><br/>Is that what your first oath as an elected official told you to do? Lie, distort and cheat the American public? I&#39;d like to see what you agreed to. Was there a bible around at the time? Did it burn when you touched it? Kidding, of course (as Donny Two Scoops always says.)<br/><br/>Have you ever needed to use the services you supposedly regulate? Of course not - you&#39;re already wealthy (as is every one of your repub compatriots). And yet you still feel lenders should be able to cheat and mislead people, with no recourse for the public. What do you think government is for? Wait, I know you&#39;ll get this wrong. I&#39;ll answer that for you. To protect and serve the people. Not protect the monied interests. Let their lawyers protect them.<br/><br/>Time to wise up. The consumers have the power, not the Payday Lenders you seem to cherish. There will be a price to pay, even if we have to wait for sane leadership to regain power in Washington. That&#39;s coming with the next election, Mic. This year. You can bet on it. <br/><br/>Deceit and deception may work for a while (it seems to be the only way for Trump), but do you think that&#39;s the way to build the country? You know it&#39;s not. Trump does not know that, and cares less. How you work for a man destined to be remembered for what he did TO the USA, not what he did for us? The money must be good, eh?<br/><br/>You know what you need to do, and it&#39;s not what you&#39;re doing now. Wake up and work for America, not just American Bankers. Their money must be awfully good for you to sell us all down the river. Remember, it won&#39;t be enough to cleanse your soul. <br/><br/>"
CFPB-2018-0003-0099,"Putting Mick Mulvaney in charge of an agency he wants to destroy was a cruelly sick joke and a sad ending to a wonderful dream.  Two quotes come to my mind.  First, from Rome in the first century of the modern era comes Juvenal&#39;s poignant cry:  &quot;Quis custodiet ipsos custodies?&quot;  [Who will guard us against our guardians?]  Second, Chris Hedges sums up our current condidition:  &quot;And as 21st-century America&#39;s own capitalist democracy disintegrates, replaced by a naked kleptocracy that disdains the rule of law, the struggle of past anti-fascists mirrors our own. History has amply illustrated where political paralysis, economic decline, hypermilitarism and widespread corruption lead.&quot;<br/><br/>"
CFPB-2018-0003-0355,"The CFPB needs to be strengthened, not gutted. <br/><br/>Establishing the CFPB is one of the only government actions in recent memory that makes me hopeful that our federal lawmakers are anything other than craven tools of the avaricious monsters who control our money. Don&#39;t take that hope away. In the decade since the Great Recession (&quot;recession,&quot; sure) I&#39;ve already lost hope of ever being able to do things like own my own home. You people replaced pensions with 401(k)s  if you&#39;re going to force us to tie our ability to retire (instead of literally working ourselves to death) to the stock market, you could at least pretend like you care that these institutions obey the laws. <br/><br/>Mick Mulvaney, take your anger problem and your utter lack of morality back to the hell you crawled from and leave us something. You are a Bad Person serving Bad People and without you and your ilk we the actual people might have a chance of not dying in poverty after these monstrous financial conglomerates take all our money so their executives can refinish the dining room  I mean, one of their dining rooms  with our collective savings. Hahaha as if anyone has savings. As if anyone has hope. Please don&#39;t take away the CFPB."
CFPB-2018-0003-0024,"I am am very much against the weakening/watering down of the Bureau&#39;s mission since Mick Mulvaney became acting head.  The fact that a person who declared the CFPB a &quot;sick sad joke&quot; has been named acting head of the Bureau is a clear-cut example of regulatory capture.  In essence, a fox has been chosen to guard the henhouse.<br/><br/>The CFPB&#39;s mission as it was originally envisioned under Rich Cordray is something I&#39;m very much in favor or.  Given recent news stories about payday lenders preying on some of our poorest workers, and the Wells Fargo Account Fraud Scandal, it&#39;s quite clear to any honest person with open eyes  that the American people need the kind of protection that Richard Cordray&#39;s CFPB provided. <br/><br/>I ask that the CFPB remember it&#39;s original mission and look out for the American people, and do the kind of important work it did under Richard Cordray.  The American people deserve no less.  Please show that you are on the side of the people - allow the CFPB to do its job! "
CFPB-2018-0003-0029,"I request the CFPB do it&#39;s mandated job and protect consumers from companies that would otherwise take advantage of us due to the size and complexity of a large multinational corporation. Investigative actions into incidents like the Equifax data breach, Wells Fargo fraudulent auto loan insurance, and Aetna failure to review medical records before denying coverage are essential to provide us consumers our rights. With the curtailment of class action lawsuits what recourse do we have to enforce negative outcomes for these businesses when they cause us economic damages. I fail to see how Mick Mulvaney&#39;s goal to reduce the CFPB role in incidents like these will provide me with better outcomes. To that end I hope that you increase your role as a watchdog for consumers as outlined by your original mandate as opposed to standing idly by."
CFPB-2018-0003-0031,"I think the CFPB should leverage larger fines against banks and financial institutions that break the law or harm consumers. The current fines being levied do not seem to be having much impact on poor banking practices. The CFPB should seek criminal charges against the corporate heads of banks as well. &quot;Too big to fail&quot; is nonsense, other more ethical institutions will fill any voids in Americas financial landscape."
CFPB-2018-0003-0061,The CFPB is a necessary instrument for ensuring financial institutions do not take advantage of their customers and should use every tool in their investigative and punitive toolbox to ensure that those institutions are held to the highest legal and ethical standards.
CFPB-2018-0003-0048,I think any civil penalties that are levied against a company or an individual that defrauds Americans ought to exceed the amount of money they made off of the fraud.
CFPB-2018-0003-0321,"My government is paid by me to act in the interest of the common good.<br/>Mick Mulvany is acting on the behalf of millionaires, himself a millionaire, and billionaires,<br/>who bribe representatives to serve them only.  Not the rest of us.<br/><br/>What the republicans are doing is evil.<br/>What the republicans are doing is theft of our treasury.<br/>What the republican will do is try and kill Medicare, Medicade and then they will go after<br/>our social security.  Because they stole 1.4 trillion already, now we owe that.<br/><br/>Republicans are monsters, morons and millionaires who want more and more and more.<br/>We the people do not exist to them.  We are all fucked.<br/><br/>Please leave government.   You have taken enough.<br/>  "
CFPB-2018-0003-0333,"The Consumer Financial Protection Agency under Mick Mulvaney is an absolute disgrace.  The agency was created to protect consumers from predatory financial institutions.  Under Mulvaney there has been little or no oversight of financial institution exploitation.  He is obviously acting in the behalf predatory financial institutions and should be immediately removed and replaced with a capable, experienced, and passionate administrator who has the best interests of the public at heart.  The <br/>Trump administration destruction of government agencies designed to act in the public interest is abhorrent.  Trump should resign or be impeached. "
CFPB-2018-0003-0316,"The Consumer Financial Protection Bureau needs to get back to the job it was set up to do: protect consumers. As it is now, it&#39;s a misuse of taxpayer dollars to protect the big banks and other financial corporations it was set up to protect us from. Get back to work and do the job you were supposed to do!"
CFPB-2018-0003-0263,This agency has turned into nothing as it was originally conceived.  Mulvaney is a disgrace and a shill for the corporate businesses.  This agency acts like a banana republic agency and does nothing to protect the consumer. How shameful!!
CFPB-2018-0003-0268,"We the consumer expect you to protect us from predatory services, fraud practices and yet you are doing exactly the opposite. "
CFPB-2018-0003-0258,"It is disappointing to see another agency captured by the industries it is supposed to oversee.  This must be demoralizing for the people who work at the CFPB.  Now they will be merely pretending to protect consumers, which is worse than having no agency at all.<br/>I watched former director Cordray&#39;s public hearings on arbitration.  I was impressed by the CFPB&#39;s polite patience as they listened to the industry&#39;s long-winded and spurious defense of arbitration.  "
CFPB-2018-0003-0240,"Your agency is there to protect the consumer. I am a consumer who wants to be protected from  banks like Wells Fargo and others who are cheating their customers and getting away with it.  The big banks are buying our congressmen to vote in their favor. Some of those bills are written by the company and given to a representative who then presents it as his own. Are you a honorable man? Do you have integrity? Or are you like all the rest, doing what you are told and taking no responsibility for your actions.  You are part of our history, what do you want to be remembered for. What will your kids think of you. Will they be proud you protected the people who need it? We need your help. Please.<br/>Best regards.<br/>Judith Rinehart."
EPA-HQ-OECA-2011-0294-0003,Please see attached.
EPA-HQ-OECA-2011-0294-0004,See attached file(s)
SSA-2019-0002-0005,See Attached
SSA-2019-0002-0002,"Ms. Zimmerman,<br/><br/>I have a couple of questions about the notice that was published in the Federal Register on Wednesday, May 15, 2019 at 84 FR 21889. The notice announces a new matching program with the Law Enforcement Agency (Source Jurisdiction). However, there is no further information contained in the notice about what this means. Which law enforcement agency does this refer to? And what is Source Jurisdiction?<br/><br/>Many thanks for any clarification you can provide.<br/><br/>Kate Lang<br/>Senior Staff Attorney<br/>Justice in Aging<br/>"
PTO-C-2015-0018-0006,See attached.
PTO-C-2015-0018-0002,"While I support this initiative, the OED should consider whether Faculty Clinic Supervisors are attorneys when evaluating their fitness. While non-attorney (&quot;patent agent&quot;) Supervisors may be qualified to advise students, their experience is limited to patent prosecution. Attorneys, on the other hand, are educated in issues which surround and often overlap with patent prosecution, such as licensing and corporate organization. Their knowledge of surrounding issues would give students perspective beyond patent prosecution; these students are, after all, in law school, and will encounter the surrounding issues in practice. Other law school clinic programs require that supervisors be members of the bar. Likewise, this program should take that credential into consideration."
PTO-C-2015-0018-0005,See attached
PTO-C-2015-0018-0007,See attached.
PTO-C-2015-0018-0004,See attached
PTO-C-2015-0018-0003,See attached
IRS-2017-0006-0009,See Attached
IRS-2017-0006-0006,See attached file(s)
IRS-2017-0006-0003,See Attached
IRS-2017-0006-0008,See Attached
IRS-2017-0006-0005,See attached file(s)
IRS-2017-0006-0007,Please see attached comments
IRS-2017-0006-0004,"<br/>I support the proposed rule to change the definition of dependents as well as the proposed regulations to the earned income tax credit, dependency rules, and the surviving spouse and head of household rules. Currently, the IRS has taken the position that if a child meets the definition of &quot;qualifying child&quot; for more than one taxpayer, then the taxpayer for whom the child is not treated as a qualifying child under the tiebreaker rules cannot claim the EITC for childless taxpayers. With this proposed regulation, if a child meets the definition of &quot;qualifying child&quot; for more than one taxpayer, and the child is not treated as a qualifying child of one of the taxpayers under the tiebreaker rules, then the child is also not treated as a qualifying child for purposes of the EITC. Therefore, if otherwise eligible, that taxpayer could claim the EITC for childless taxpayers.<br/><br/>Secondly, the dependency rules and definition should be amended because the amended rules and regulations would allow parents of legally adopted children to have the same rights as parents with blood children. The proposed regulations would substitute &quot;person&quot; for &quot;taxpayer&quot; in this situation, so that any child legally adopted by a person or any child placed with a person for legal adoption by that person is treated as a child by blood of that person for purposes of the Sec. 152(c) and (d) relationship tests.<br/><br/>For these purposes, the proposed rule to change the definition of dependents should be adopted."
